WGT,RACE,NETWORTH
 4625.2999606000,3,    119000.00
 4483.3481683000,3,    102200.00
 4596.8980719000,3,     95770.00
 4485.7528675000,3,     96870.00
 7611.5891333000,1,   6680500.00
 7981.2375996000,1,   6679500.00
 8189.5271722000,1,   6681500.00
 7876.7368309000,1,   6681500.00
 7842.0570505000,1,   6680500.00
 2469.9495587000,1,    195000.00
 2370.7795505000,1,    136000.00
 2400.4657304000,1,    105400.00
 2350.1282563000,1,     56000.00
 2375.4510189000,1,    102000.00
 4017.7908486000,4,   2630000.00
 4125.0013505000,4,   2945100.00
 3744.3527883000,4,   2928000.00
 3871.2475919000,4,   2794100.00
 3953.9560965000,4,   2787100.00
 7689.0728189000,1,    347405.00
 7045.6480254000,1,    332405.00
 7295.3567224000,1,    324305.00
 7182.3481023000,1,    331405.00
 7043.4724764000,1,    339405.00
 9784.4791096000,1,    -76950.00
 9572.2682216000,1,    -75600.00
 9642.7288365000,1,    -76450.00
 9639.8436940000,1,    -76100.00
 9530.5712275000,1,    -72900.00
 7832.0863870000,2,    480100.00
 7807.3457653000,2,    437100.00
 8572.4959490000,2,    554100.00
 8007.0399937000,2,    481100.00
